data,valor_mensal,dia,mes,ano,dia_semana,nome_dia_semana,bimestre,trimestre,semestre,variacao_mensal,p_variacao_mensal,valor_anual,variacao_anual,p_variacao_anual
2001-01-01,67.46,1,1,2001,0,Segunda-feira,1,1,1,0.3499999999999943,0.005215318134406122,795.89,-0.37999999999999545,-2095.4473684210775
2001-02-01,66.86,1,2,2001,3,Quinta-feira,1,1,1,-0.5999999999999943,-0.008894159501926957,795.89,-0.37999999999999545,-2095.4473684210775
2001-03-01,67.4,1,3,2001,3,Quinta-feira,2,1,1,0.5400000000000063,0.00807657792402039,795.89,-0.37999999999999545,-2095.4473684210775
2001-04-01,66.7,1,4,2001,6,Domingo,2,2,1,-0.7000000000000028,-0.010385756676557945,795.89,-0.37999999999999545,-2095.4473684210775
2001-05-01,65.89,1,5,2001,1,Terça-feira,3,2,1,-0.8100000000000023,-0.012143928035982077,795.89,-0.37999999999999545,-2095.4473684210775
2001-06-01,64.3,1,6,2001,4,Sexta-feira,3,2,1,-1.5900000000000034,-0.024131127636970784,795.89,-0.37999999999999545,-2095.4473684210775
2001-07-01,66.62,1,7,2001,6,Domingo,4,3,2,2.3200000000000074,0.03608087091757395,795.89,-0.37999999999999545,-2095.4473684210775
2001-08-01,66.73,1,8,2001,2,Quarta-feira,4,3,2,0.10999999999999943,0.0016511558090663847,795.89,-0.37999999999999545,-2095.4473684210775
2001-09-01,66.05,1,9,2001,5,Sábado,5,3,2,-0.6800000000000068,-0.010190319196763165,795.89,-0.37999999999999545,-2095.4473684210775
2001-10-01,66.02,1,10,2001,0,Segunda-feira,5,4,2,-0.030000000000001137,-0.0004542013626041008,795.89,-0.37999999999999545,-2095.4473684210775
2001-11-01,65.89,1,11,2001,3,Quinta-feira,6,4,2,-0.12999999999999545,-0.0019691002726446305,795.89,-0.37999999999999545,-2095.4473684210775
2001-12-01,65.97,1,12,2001,5,Sábado,6,4,2,0.0799999999999983,0.0012141447867657362,795.89,-0.37999999999999545,-2095.4473684210775
2002-01-01,65.55,1,1,2002,1,Terça-feira,1,1,1,-0.4200000000000017,-0.006366530241018631,789.24,-6.649999999999977,-119.6827067669177
2002-02-01,65.69,1,2,2002,4,Sexta-feira,1,1,1,0.14000000000000057,0.0021357742181540296,789.24,-6.649999999999977,-119.6827067669177
2002-03-01,65.1,1,3,2002,4,Sexta-feira,2,1,1,-0.5900000000000034,-0.008981580149185597,789.24,-6.649999999999977,-119.6827067669177
2002-04-01,64.24,1,4,2002,0,Segunda-feira,2,2,1,-0.8599999999999994,-0.013210445468510024,789.24,-6.649999999999977,-119.6827067669177
2002-05-01,65.04,1,5,2002,2,Quarta-feira,3,2,1,0.8000000000000114,0.012453300124533273,789.24,-6.649999999999977,-119.6827067669177
2002-06-01,65.08,1,6,2002,5,Sábado,3,2,1,0.03999999999999204,0.0006150061500613813,789.24,-6.649999999999977,-119.6827067669177
2002-07-01,65.97,1,7,2002,0,Segunda-feira,4,3,2,0.8900000000000006,0.013675476336816317,789.24,-6.649999999999977,-119.6827067669177
2002-08-01,65.7,1,8,2002,3,Quinta-feira,4,3,2,-0.269999999999996,-0.004092769440654731,789.24,-6.649999999999977,-119.6827067669177
2002-09-01,65.74,1,9,2002,6,Domingo,5,3,2,0.03999999999999204,0.0006088280060880802,789.24,-6.649999999999977,-119.6827067669177
2002-10-01,67.13,1,10,2002,1,Terça-feira,5,4,2,1.3900000000000006,0.021143900212960087,789.24,-6.649999999999977,-119.6827067669177
